log10_accretion_rate abundances-ratio HeH-ratio
-9.419328611037286691e+00 -7.817361464066285848e-01 3.739326942806746323e-02
-9.416664266072134026e+00 -9.058359866519518633e-01 6.415172371781227567e-02
-9.395280011955126298e+00 -4.451637784811914855e-01 9.137946388879812643e-02
-9.394663475716837908e+00 -9.919735462559131633e-02 7.259532114027369976e-02
-9.411326123759110374e+00 -5.525806204206356043e-01 1.474457124594772961e-01
-9.389646339890649784e+00 -4.485285065772046664e-01 1.050486278902383330e-01
-9.401371451674860324e+00 -6.830826871499331432e-01 1.415980735753728792e-01
-9.405266271431623082e+00 -4.668749070374316190e-01 1.456452048296246471e-01
-9.411354860764763686e+00 -8.784622618856952059e-01 1.287486429282868605e-01
-9.409549471554839783e+00 -5.747185181792922037e-01 9.318028060964000936e-02
-9.411191299451754588e+00 -3.531537449817978569e-01 1.164034059553902822e-01
-9.394693128881302258e+00 -6.379392142836239898e-01 1.183107799366423379e-01
-9.417191077792619325e+00 -4.044440143872858329e-01 3.303002511355283832e-02
-9.378720505183403944e+00 -4.264148034225430095e-01 -2.930876921379644423e-02
-9.400481346278485972e+00 -5.917625815611193829e-01 8.093404977418663937e-02
-9.405635174419874289e+00 -7.223979108615461442e-01 7.022099274962802923e-03
-9.406802908665705232e+00 -1.321337977296739297e-01 1.360532724130955884e-01
-9.402686996686584919e+00 -6.335889401564056556e-01 1.010970633288895415e-01
-9.402779889577617567e+00 -3.451604623448139009e-01 1.239182966420301762e-01
-9.374628135713273025e+00 -6.629880766930433822e-01 -8.452218679103385562e-03
-9.372112702511863347e+00 -4.340744676802055224e-01 1.836937539899805294e-01
-9.397047108549307026e+00 -4.752682456946271117e-01 4.261627056416344289e-02
-9.416482831347609661e+00 -7.556698776239629822e-01 1.047157434306269647e-01
-9.410384286416139332e+00 -3.952869736115784960e-01 1.487750801677070189e-01
-9.410703258280349814e+00 -5.267676392718394496e-01 7.064547631336703937e-02
-9.403538657880346818e+00 -6.123545245849841834e-01 5.814380265663506020e-02
-9.375947117119455498e+00 -3.576023294975003708e-01 1.988417032943844143e-02
-9.381242514218085304e+00 -6.321100778835866407e-01 -4.126424186527255511e-02
-9.397061888301925237e+00 -5.472623308737176728e-01 7.562084934334942221e-02
-9.372557945435641358e+00 -1.229156493898413416e-01 4.686088161135136543e-02
-9.393741555207659744e+00 -5.022628554799037914e-01 8.662924750110627403e-02
-9.400365883679778989e+00 -4.641072039187363885e-01 1.433944813709177868e-01
-9.381945780834119120e+00 -4.458892797501095018e-01 -4.588676000550773182e-02
-9.405318948676407942e+00 -3.398849761482551912e-01 5.451767595247476728e-02
-9.395769074585627934e+00 -5.743906912939085174e-01 8.900932376702000437e-02
-9.403814800348897052e+00 -4.413663977539785677e-01 1.030800723660555279e-01
-9.386439653971910602e+00 -6.582924055173782207e-01 -7.161131076594412503e-04
-9.405292069715907033e+00 -2.337394379605530759e-01 8.803455475292212840e-02
-9.398553280279198674e+00 -6.864245134596407283e-01 1.053358011336196082e-01
-9.399735542953848721e+00 -6.424880698325869943e-01 1.038210027582438799e-01
-9.416842959640902677e+00 -6.437223036685724153e-01 2.821857785887066719e-02
-9.410843996431241365e+00 -7.705828349242098696e-01 9.744157614386023125e-02
-9.394878475602729040e+00 -5.822715963961746510e-01 -9.752896725241266829e-03
-9.382457728171427647e+00 -2.479889853076198136e-01 7.091492837323579157e-02
-9.420379515104325918e+00 -8.570957663273564009e-01 1.233450011006334557e-01
-9.369694887413308138e+00 -5.558871721968952073e-01 -2.284559538539471246e-02
-9.386892012986164602e+00 -6.794767417116531760e-01 1.439400357332044078e-01
-9.404853886305932775e+00 -6.404276190090794074e-01 1.780877057833958887e-01
-9.412504173996538270e+00 -4.003232886942127422e-01 1.288124578310692048e-01
-9.411627732693631287e+00 -6.795379280596369753e-01 9.493350024068100690e-02
-9.410207159256854581e+00 -3.789405422338489871e-01 1.532126106343139615e-01
-9.398419514531058283e+00 -6.518616847695435368e-01 1.783998885468592865e-01
-9.406955702300578537e+00 -5.225012095314234273e-01 -3.397017338882486054e-02
-9.395684123040879854e+00 -4.147647866968169339e-01 -6.154436755257199076e-02
-9.386143600309626578e+00 -6.826370002117680968e-01 1.387427343741186314e-01
-9.398161911475321872e+00 -7.672242220794753820e-01 -3.169632076139778515e-02
-9.405018765066660791e+00 -2.778148846816561601e-01 1.653393513167087936e-01
-9.414891942070420683e+00 -6.389364658379363959e-01 9.993446602331038098e-02
-9.406244606162225352e+00 -4.924462914893341647e-01 1.185895521453146501e-01
-9.361106308864302505e+00 -6.072884495567469898e-01 -4.695531258115058504e-02
-9.384768492897709535e+00 -6.081013364240739349e-01 1.281244341592066294e-01
-9.396311871070583521e+00 -4.520551529117557976e-01 7.293254791385268831e-02
-9.415489214142649388e+00 -6.729775011507923566e-01 9.379484652806630018e-02
-9.406266221717263676e+00 -4.866031639991303948e-01 9.755702168651994577e-02
-9.399658278754742469e+00 -6.779813852183469436e-01 3.353627325815985299e-02
-9.403993659404608962e+00 -5.678679121500174176e-01 6.498810669581570054e-02
-9.387105363738200481e+00 -4.898896487263106891e-01 4.654255849567844050e-02
-9.374317935400943824e+00 -5.041493391577214211e-01 -3.682025415105685817e-02
-9.393175049266202947e+00 -5.357487612356566231e-01 6.012808435880138969e-02
-9.386619762431276826e+00 -5.273996434853760462e-01 -2.117101966159304002e-02
-9.408880347941538602e+00 -7.703147417080424830e-01 8.446004389375448562e-02
-9.403016614356442204e+00 -6.998010669274634665e-01 1.881785437172578401e-01
-9.394554020706900488e+00 -2.221422937583348300e-01 -1.677493110037173510e-02
-9.394641300718104659e+00 -3.177316468291140339e-01 5.593793311210862318e-03
-9.402788059452188207e+00 -7.060212002099177653e-01 6.512448816476977542e-02
-9.399017670570371408e+00 -2.973353898232762305e-01 6.660197962074644595e-02
-9.405528387486240760e+00 -8.161597564918903203e-01 5.541404900789036192e-02
-9.404034764431651539e+00 -5.090458136478126505e-02 8.905519031743741598e-02
-9.395159317565877188e+00 -6.079518469521314472e-01 5.767641291259217179e-02
-9.402152430480311907e+00 -6.637206475164534325e-01 1.126467383372520698e-01
-9.410864343120159958e+00 -5.926437661876677865e-01 1.013966681690883498e-01
-9.411686738285839127e+00 -7.098548678468539208e-01 1.034333915030793694e-01
-9.386815040504318475e+00 -5.870176100722792611e-01 3.881526692021439878e-03
-9.383115523227001376e+00 -9.248653586245758618e-02 1.474439055293583212e-02
-9.397294692263056248e+00 -5.891446198564773695e-01 6.643888559405884686e-02
-9.364248304046531857e+00 -5.596566494382004819e-01 -5.071140936197626736e-02
-9.378463219994154443e+00 -7.486968064883030571e-01 7.846815599252435214e-02
-9.389976901224766692e+00 -6.260844711387791861e-01 6.184039336631479838e-02
-9.410599731005261148e+00 -4.245841563358032644e-01 1.012480382574105220e-01
-9.404435299073238497e+00 -5.925607159042973748e-01 4.032430377257203991e-02
-9.387437570763150774e+00 -6.118011540699441753e-01 -2.953836683277383246e-02
-9.382555954301503576e+00 -7.664827734677572835e-01 1.399689137231422131e-01
-9.422447341728030779e+00 -6.363540220426697758e-01 6.074393682838316599e-02
-9.395565922991918839e+00 -5.112489838485085869e-01 -5.546281431530591943e-02
-9.384084294449285935e+00 -6.572422263273312026e-01 1.344793104727039501e-01
-9.398234876210667110e+00 -8.394946363844399961e-01 -2.021607819337287865e-02
-9.401334213841737508e+00 -4.041138081017781047e-01 1.527439350861534706e-01
-9.408251873061701076e+00 -6.237103569561028849e-01 8.906532779174990144e-02
-9.403098047087777189e+00 -4.101725836425114124e-01 9.086019133210390675e-02
-9.387837822392375742e+00 -6.618600388414672686e-01 2.361177784597067592e-02
-9.369649939807272787e+00 -5.525442725264415600e-01 1.360999136961648648e-01
-9.411326049943163241e+00 -5.888926419135440682e-01 1.076180000218022181e-01
-9.392083296993037678e+00 -6.770861493312576584e-01 2.402113562396693269e-02
-9.395325552788536427e+00 -5.584883573262278134e-01 2.220096271011882255e-02
-9.402637033951021905e+00 -5.821360446329757465e-01 8.341135327250438769e-02
-9.403993659404608962e+00 -5.678679121500174176e-01 6.498810669581570054e-02
-9.397791172953340322e+00 -5.497207896271190108e-01 8.870896374225950565e-02
-9.369572653485324309e+00 -3.861409289332664585e-01 -1.025191555791329229e-02
-9.392174005979127216e+00 -5.388250031408521323e-01 4.416265345679269705e-02
-9.372620298576856968e+00 -5.879629106918180526e-01 -1.319015640833574865e-01
-9.410836405052593889e+00 -7.168004266850536155e-01 6.929988263685249450e-02
-9.414873402896185794e+00 -6.527069775611771263e-01 9.049085156991655554e-02
-9.396473602207676024e+00 -8.881136245586018774e-01 1.879548055178412169e-03
-9.396670090715719681e+00 -3.109103019367394083e-01 3.932263446478359570e-03
-9.416661470449536608e+00 -9.508452293476232775e-01 1.071761395041663789e-01
-9.402226421584064298e+00 -4.866245671093274439e-01 6.159553296137282308e-02
-9.403974785129639358e+00 -1.121550487318434541e+00 -5.995656823561201776e-02
-9.402088539052744665e+00 -1.503750201698066391e-01 8.384496101538410628e-02
-9.398246687342110661e+00 -5.934581390616155971e-01 7.508561896274512648e-02
-9.399454107184967100e+00 -5.783093205753218058e-01 8.958107015495096748e-02
-9.400384640251139956e+00 -4.448516723934918815e-01 -4.882931263269039979e-02
-9.411948233163542454e+00 -7.262063623612071694e-01 1.130409865184832385e-01
-9.384649143478871025e+00 -5.941547669595159675e-01 2.760792050493189598e-02
-9.393721113394208899e+00 -2.117440752802179915e-01 3.980190662814644259e-02
-9.403770319087289664e+00 -5.601818713227419977e-01 -1.608534658478737167e-02
-9.350719019229655871e+00 -6.174743215151909936e-01 -9.106011688061685372e-02
-9.387266305176078518e+00 -5.316944591324572755e-01 6.891945222305673191e-02
-9.401159053257810427e+00 -5.846425182463734771e-01 6.397537620341402220e-02
-9.403865147963678339e+00 -4.078862072247275705e-01 7.145450055245765320e-02
-9.411703616316145826e+00 -5.916542971512566140e-01 8.940349731467026051e-02
-9.399163024273798683e+00 -5.111458220057532031e-01 9.553358361278310729e-03
-9.381276815021383442e+00 -9.455780459298415153e-01 7.430618273349377800e-02
-9.408472385197191201e+00 -1.045552236403649804e+00 5.536309069366238123e-02
-9.397343605786080190e+00 -4.830486025524054483e-01 -1.151553629475415841e-02
-9.377586874587551691e+00 -6.089517317633843518e-01 1.593510078593806112e-01
-9.396308207801899570e+00 -7.961036894211379611e-01 -4.177267151199628298e-02
-9.399733227748798825e+00 -2.762899561388616476e-01 1.942556175638064653e-01
-9.400592194794478829e+00 -5.937662113771038364e-01 1.228221413544368923e-01
-9.401479489550801816e+00 -3.151630359329393727e-01 7.562506696222823233e-02
