log10_accretion_rate abundances-ratio HeH-ratio
-9.597257240943431356e+00 -8.023636405029987984e-01 2.025389951789425269e-01
-9.678235830698797670e+00 -5.705216313273528961e-01 -1.261403041279239579e-02
-9.705675775133345340e+00 -4.941954746352967831e-01 3.344535683634940193e-02
-9.630445992534957256e+00 -3.350559455428898659e-01 3.305128187373926330e-02
-9.649003229415786365e+00 -6.190676557592129647e-01 -1.054626782777308008e-01
-9.658647786149181513e+00 -5.361531879022329861e-01 6.860940335380733002e-04
-9.586802856607436141e+00 -3.845098737224530439e-01 1.240889624984695128e-02
-9.639203647249262374e+00 -4.815747460829609139e-01 9.056865837107214157e-03
-9.635405301972099323e+00 -3.431333533374356648e-01 4.408556924995678250e-02
-9.667687021822745308e+00 -4.170234194224518021e-01 5.414169207666008621e-02
-9.597172175827724416e+00 -5.315017444306722183e-01 1.114122027860581232e-01
-9.686905749842736668e+00 -5.208701947385767639e-01 2.001405850564982603e-01
-9.566201791540757782e+00 -3.925104497170863738e-01 -8.524244804428471323e-02
-9.625474512028310059e+00 -5.203507493080659074e-01 3.651811729456385519e-02
-9.624905917865600458e+00 -6.784650968853327413e-01 -1.159160244657099215e-01
-9.616597338616097446e+00 -5.575526796061183177e-01 -1.885602379109381777e-01
-9.639338123942742698e+00 -1.031781983724959773e-01 1.068816027639813565e-02
-9.576055546178698918e+00 -2.196674705886128010e-01 -3.053581172006462896e-02
-9.665113977893529551e+00 -2.517785091669075825e-01 1.249992162460800138e-03
-9.636981099002795759e+00 -8.581097308917851052e-01 4.774711364661517188e-02
-9.639404018641506866e+00 -6.539818394807523916e-01 1.553011779310734253e-01
-9.667085078014700628e+00 -4.622300664967333717e-01 -8.851471755039659606e-02
-9.656517363858560188e+00 -3.566453521207622046e-01 -3.902511895868596148e-02
-9.660618082205759904e+00 -2.923916136396611520e-01 -3.017660278089609460e-02
-9.674093295068336928e+00 -4.339582964160655365e-01 6.099202978955542420e-02
-9.593036409699134737e+00 -5.850740675555474724e-01 -4.790595336910014046e-02
-9.678370106517297344e+00 -4.288133174210990717e-01 2.014661087515515758e-01
-9.655876333069011608e+00 -3.419261052347906116e-01 1.308057827894655578e-02
-9.648030565075638165e+00 -4.381820469090733638e-01 -7.885503101041513307e-02
-9.710602099412176003e+00 -7.495341855942747600e-01 1.579425988262877500e-01
-9.635793456668077184e+00 -6.551885073489831512e-01 2.254624002564006857e-02
-9.652471741779883985e+00 -3.791652608178592843e-01 9.814367131657707188e-02
-9.651280672928244542e+00 -6.618419801298323080e-01 1.989779699310100236e-01
-9.640944541344785179e+00 -3.504663047690099731e-01 5.500358690116670390e-02
