"mass","porb","label","numSimulation","Teff","logCN","star_mass","lg_mstar_dot_1","period_hours","period_days","teffError","cnError","massError","mdotError","totalError","teffError2","cnError2","massError2","mdotError2","totalError2","teffError3","cnError3","massError3","mdotError3"
1,2.5,"mass=1.000;Porb=2.500",1,4989.55919964154,0.597148989252957,0.711797835309491,-8.11168317092873,7.13351186,0.297229660833333,0.0663716030653476,0.999899854503463,0.365754808199409,0.0871334167459869,0.379789920628551,1.13806487683117,1.02767129941225,2.17561646464787,2.31301667310112,1.6635923284981,0.145291754151921,2.23476085141134,1.20511392382884,0.160293469068689
1,2.6,"mass=1.000;Porb=2.600",1,4665.3760110295,0.59696004741101,0.594928044857662,-8.33223771792173,7.13351186,0.297229660833333,0.0399711058230064,0.999899827315479,0.286323479673097,0.073807197001569,0.350000402453288,0.658640715822604,1.0274997549593,1.50280454142547,1.98359389501258,1.29313472680499,0.084858797594858,2.23436994218858,0.842728341956126,0.137462067788083
1,2.7,"mass=1.000;Porb=2.700",1,4281.07177545157,0.559153258025189,0.442641333208767,-8.69941514099733,7.13351186,0.297229660833333,0.031483361368558,0.999894072996696,0.146759641179058,0.0523320176167151,0.307617273290257,0.511976848861193,0.993174139541057,0.624801572283594,1.43517352277335,0.891281520864798,0.0621022706634589,2.15614998570977,0.371693881292619,0.0994525358980684
1,2.8,"mass=1.000;Porb=2.800",1,4156.72155219087,-0.481267577119099,0.303704287074891,-9.14468407325515,7.13351186,0.297229660833333,0.0370101114976526,0.117127525791416,0.0863602166230819,0.0274146260775693,0.06697811999743,0.599020322164527,0.108687489857177,0.327678781681864,0.770114784875073,0.45137534464466,0.0712148244473192,0.255890857470863,0.163511350531977,0.0533591145255843
1,2.9,"mass=1.000;Porb=2.900",1,4541.29835871745,-1.12387325956365,0.214234364812743,-9.53900869911983,7.13351186,0.297229660833333,0.0330321210463177,0.365247390106691,0.210146478459985,0.00631429851450723,0.153685072031875,0.539276388631825,0.534885509881888,0.694750570079347,0.181181822528958,0.487523572780504,0.0688397130922632,1.32593268898781,0.338398292859477,0.0125417984237482
1.1,2.5,"mass=1.100;Porb=2.500",1,4960.6917615698,0.597040043997707,0.695255676257504,-8.13977686009497,7.13351186,0.297229660833333,0.064221652175311,0.999899838828473,0.352565626766558,0.085417602383978,0.37552618003858,1.09621443932349,1.02757238561941,2.06706429513818,2.27105561966524,1.61547668493658,0.140381636890714,2.23453545027936,1.13874733893073,0.157385262008114
1.1,2.6,"mass=1.100;Porb=2.600",1,4629.05071928307,0.592764118542681,0.575687058698451,-8.38388319307604,7.13351186,0.297229660833333,0.0376665348940984,0.999899219710747,0.268923604844636,0.0707337773756659,0.344305784206287,0.617966456612531,1.02369017887531,1.38183605257999,1.90645562634848,1.23248707860408,0.0796710965402338,2.22568881959656,0.774810361869242,0.132115823134995
1.1,2.7,"mass=1.100;Porb=2.700",1,4265.07550585688,0.174226975720107,0.42664890949385,-8.76176872627121,7.13351186,0.297229660833333,0.0320161833491638,0.999744839810056,0.127090060094791,0.0487701626686496,0.301905311480665,0.521543308099226,0.643691103678376,0.527554442752302,1.34204149913225,0.758707588415539,0.0627904950242416,1.35976083078336,0.315912330206474,0.0929978073690856
1.1,2.8,"mass=1.100;Porb=2.800",1,4163.46498379244,-0.938721615188326,0.291664466124024,-9.19242315442267,7.13351186,0.297229660833333,0.0357968486505104,0.286328446631406,0.0935513074053975,0.0248129930957608,0.110122398945769,0.579795464203678,0.36693368950851,0.352602699930372,0.698811150667531,0.499535751077523,0.0689338614920178,0.943025747698752,0.171598590860649,0.0484172525972618
1.1,2.9,"mass=1.100;Porb=2.900",1,4552.12566312841,-1.39195799625007,0.209750730974061,-9.53338833014624,7.13351186,0.297229660833333,0.0337280353712519,0.452792296628812,0.219305489434009,0.00660829927958062,0.178108530178413,0.551098017878826,0.778282671271144,0.717480705964148,0.189557330113336,0.559104681306864,0.0704239856170625,1.88058097912505,0.351018685204094,0.0131222640479572
1.2,2.5,"mass=1.200;Porb=2.500",1,4965.83947722764,0.596250927648085,0.703501006474941,-8.13066422526317,7.13351186,0.297229660833333,0.0645184301625254,0.999899725144145,0.359466671952997,0.0859735602729488,0.377464596883154,1.10247776884905,1.02685592953368,2.12265983433613,2.28466635461913,1.6341649718345,0.14100727832815,2.23290281636554,1.17237976822648,0.158328585215026
1.2,2.6,"mass=1.200;Porb=2.600",1,4668.61486601232,0.580170135096213,0.59564434916807,-8.32715521692175,7.13351186,0.297229660833333,0.0400980163463123,0.999897350914636,0.287117193833472,0.0741106102674327,0.350305792840463,0.660986367826929,1.01225582437471,1.50790070336473,1.99118517627102,1.29308201795935,0.0851481111500226,2.19963263093096,0.846281582490187,0.13798819894893
1.2,2.7,"mass=1.200;Porb=2.700",1,4080.85065699557,-0.889493671868486,0.341879699000934,-8.99721752275735,7.13351186,0.297229660833333,0.042039338180923,0.262024314939946,0.0802517256930856,0.0355351817687435,0.104962640145675,0.676982957300788,0.322494819650441,0.305513625743255,0.990372500721045,0.573840975853882,0.079853847887014,0.841470971431772,0.170650544892872,0.068624580759609
1.2,2.8,"mass=1.200;Porb=2.800",1,4135.98017602152,-1.40108781878647,0.243755150969862,-9.37396030022706,7.13351186,0.297229660833333,0.0381868284953944,0.455348484558172,0.150633582707604,0.0150389462180357,0.164801960494802,0.617298234700759,0.786571837907944,0.53278449559949,0.427665206444298,0.591079943663123,0.0732074704669658,1.89947002876556,0.251675540910069,0.0296248609657829
1.2,2.9,"mass=1.200;Porb=2.900",1,4634.14213849254,-1.62470296209975,0.192643439804306,-9.68483841759341,7.13351186,0.297229660833333,0.0386015087387917,0.511240640134809,0.258662758462281,0.00181964519232557,0.202581138132052,0.633910510211619,0.98959694360352,0.814757711044032,0.0525068442233562,0.622693002270632,0.0816830109728537,2.36211621116073,0.403314805082073,0.00364883981730888
1.3,2.5,"mass=1.300;Porb=2.500",1,4963.54874354361,0.590906649846934,0.705654219786068,-8.12580028435236,7.13351186,0.297229660833333,0.0635944346117991,0.999898948374054,0.359561910159987,0.0862705403825039,0.377331458382086,1.08679519434075,1.0220037422025,2.12941245717387,2.29193119204436,1.63253564644037,0.138903082924281,2.2218458294114,1.1736190411336,0.1588320914372
1.3,2.6,"mass=1.300;Porb=2.600",1,4689.60729896223,0.524875477586839,0.6119796332336,-8.29218262903851,7.13351186,0.297229660833333,0.0408734018259822,0.9998882529909,0.299361836547274,0.0762030491160641,0.354081635120055,0.675187901392602,0.962052588945728,1.6009073105331,2.04342063101233,1.32039210797094,0.0870367567338461,2.08523133491622,0.898755191700491,0.141608496959876
1.3,2.7,"mass=1.300;Porb=2.700",1,4354.08136472453,-0.186158238623269,0.491052372650438,-8.55206206078658,7.13351186,0.297229660833333,0.0302233193016657,0.464405207482188,0.194704738816534,0.0608462630853658,0.187544882171438,0.492261545834848,0.317597018587004,0.895785324338321,1.65526175810894,0.840226411717278,0.0605232337381839,0.629785083196291,0.515148796452342,0.114706255896559
1.3,2.8,"mass=1.300;Porb=2.800",1,4323.37952027956,-1.76708550507067,0.186165851893678,-9.71075451955699,7.13351186,0.297229660833333,0.0302471339506197,0.541199014047796,0.277212969046725,0.00267729016676229,0.212834101802976,0.492703518928923,1.11886918522168,0.863412961079292,0.0773566132756661,0.638085569626391,0.0601455332886542,2.65669706543196,0.426898313061189,0.00537593370126597
1.3,2.9,"mass=1.300;Porb=2.900",1,4968.77184357018,-1.7615374972434,0.168988906589866,-9.86980943007907,7.13351186,0.297229660833333,0.0647982435082754,0.540100833678704,0.319581600881882,0.0107318486566695,0.233803131681383,1.10741458378036,1.11383202691996,0.957238783408767,0.312940689446942,0.872856520889007,0.141703620264722,2.64521857339803,0.478102366922792,0.0217045294849631
1.4,2.5,"mass=1.400;Porb=2.500",1,4931.17096815894,0.551824487632221,0.694818287424095,-8.15738065587378,7.13351186,0.297229660833333,0.0602667488475886,0.999892880174297,0.354066989142676,0.0843452128585747,0.374642957755784,1.02602955334938,0.986520187748684,2.07232087307299,2.2447623902151,1.58240825109654,0.131209767516296,2.14098720382604,1.14621661949974,0.155562949428448
1.4,2.6,"mass=1.400;Porb=2.600",1,4662.88626479025,0.238142756666925,0.604377749039034,-8.31682458782824,7.13351186,0.297229660833333,0.0393533801035523,0.999793213718513,0.290252924759609,0.0747278531021289,0.351031842920951,0.648434161777843,0.701721646646403,1.54422771782949,2.00661512129724,1.22524966188774,0.0834849451025377,1.49199870882556,0.857851839854007,0.139057606682893
1.4,2.7,"mass=1.400;Porb=2.700",1,4330.30154546485,-0.637878062225551,0.491556840927077,-8.58505289488808,7.13351186,0.297229660833333,0.0306664558080316,0.131100689514902,0.194011087087813,0.0589280628961032,0.103676573826713,0.499947833655933,0.127497798658755,0.894691008964019,1.60598627333954,0.782030728654562,0.0610391774712916,0.369115619483772,0.511999396129193,0.111291105394233
