"mass","porb","label","numSimulation","Teff","logCN","star_mass","lg_mstar_dot_1","period_hours","period_days","teffError","cnError","massError","mdotError","totalError","teffError2","cnError2","massError2","mdotError2","totalError2","teffError3","cnError3","massError3","mdotError3"
0.9,2.5,"mass=0.900;Porb=2.500",2,5060.76662064044,0.597150989216906,0.74501487595443,-8.06670994526641,7.13351186,0.297229660833333,0.0742113106955131,0.999899854791171,0.384012247564103,0.0898914656558677,0.387003719676664,1.41217895459752,0.987966594007861,2.45219914236383,2.54335074439626,1.84892385884137,0.163766711031182,2.23476498921557,1.30249184576976,0.164949014719318
0.9,2.6,"mass=0.900;Porb=2.600",2,4787.38396268779,0.597150159569065,0.646041842016296,-8.22471903359159,7.13351186,0.297229660833333,0.0497825794751226,0.999899854671821,0.322302837812357,0.0802625703796444,0.363061960584736,0.91436496127942,0.987965869856108,1.86142058949216,2.29116852990621,1.51372998763347,0.107317618823538,2.23476327272446,0.996225972492282,0.148592204348733
0.9,2.7,"mass=0.900;Porb=2.700",2,4358.94527646567,0.596633119264335,0.492460772960637,-8.57760388876716,7.13351186,0.297229660833333,0.0299984791362996,0.999899780236925,0.198303648834819,0.0593605670812216,0.321890618822316,0.538272462526617,0.987514575192445,0.948453699181007,1.72796494977395,1.05055142166851,0.0601434890077018,2.23369354766209,0.525988782822039,0.112062212815083
0.9,2.8,"mass=0.900;Porb=2.800",2,4127.14422122193,0.376636467965981,0.339185893586053,-9.0284084057475,7.13351186,0.297229660833333,0.0389985297859758,0.999853425204288,0.0786683444084213,0.0338069038058007,0.287831800801121,0.69317691580582,0.795492185745855,0.311919296315013,1.00848176941247,0.70226754181979,0.0747612778257794,1.77853380599687,0.165361716562083,0.0653957578876546
0.9,2.9,"mass=0.900;Porb=2.900",2,4377.93318270925,-0.723478692068973,0.228278472078098,-9.41506346374882,7.13351186,0.297229660833333,0.0295104367075636,0.172404220962806,0.181715983727005,0.0128517617762266,0.0991206007934003,0.529493184665276,0.174566484852872,0.645954885014344,0.391381007651959,0.435348890546113,0.0594062003835806,0.511121896056949,0.297554504030471,0.0253699370339828
1.8,2.3,"mass=1.800;Porb=2.300",3,4538.22233258346,-1.73169551129101,0.546750226967049,-8.57181109163021,7.13351186,0.297229660833333,0.0326000305431506,0.534102185022574,0.24513499482583,0.0596971527449062,0.217883590784115,0.586739901298475,1.04474920890403,1.26277574853041,1.7372102433553,1.15786877552205,0.0678282888469878,2.58347731262564,0.685365748656959,0.112661872526361
1.8,2.4,"mass=1.800;Porb=2.400",3,4349.73394115716,-2.04501552308836,0.463438025943938,-8.74955405118708,7.13351186,0.297229660833333,0.0302472733431848,0.590201669284805,0.169663722772041,0.0494660073391533,0.209894668184796,0.541639500001548,1.31822817765964,0.776624379315006,1.45353280665735,1.02250621590839,0.0606439243092528,3.23171743258466,0.437558109227643,0.0942622480807379
1.8,2.5,"mass=1.800;Porb=2.500",3,4240.44449156257,-2.18701922683586,0.385274314372514,-8.95158483632919,7.13351186,0.297229660833333,0.0322465953213099,0.611398187101535,0.0955098417256938,0.0380741127774981,0.194307184231509,0.577771799513778,1.44217502113627,0.386890448320923,1.13109204497502,0.8844823284865,0.062970584898616,3.52551449145697,0.225312145697362,0.0733483925764942
1.8,2.6,"mass=1.800;Porb=2.600",3,4255.56774034964,-2.22300489224943,0.322520027782822,-9.18356421645287,7.13351186,0.297229660833333,0.0326754479629273,0.616425127521884,0.0811970447077046,0.0252947818226657,0.188898100503795,0.585617126808744,1.47358483313913,0.321063401939402,0.760853380758292,0.785279685661393,0.0640271282759654,3.59996665278137,0.162664310542146,0.0493343135713662
1.8,2.7,"mass=1.800;Porb=2.700",3,4393.54334256846,-2.18901813116232,0.273164840502454,-9.34305750476279,7.13351186,0.297229660833333,0.0298944806175186,0.611680881757809,0.110722617498687,0.0166895788145854,0.19224688967215,0.536724485526761,1.44391974944362,0.42679762157437,0.506302385821089,0.728436060591461,0.0603505839171392,3.52965010339232,0.194253589475468,0.0328238615466214
1.8,2.9,"mass=1.800;Porb=2.900",3,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.9,2.3,"mass=1.900;Porb=2.300",3,4416.19455911131,-2.22523910831924,0.476224116306685,-8.78259541024508,7.13351186,0.297229660833333,0.0296996517963509,0.616732936922565,0.179646016917987,0.0475858353383405,0.218416110243811,0.53252936278437,1.47553495149654,0.84048310122143,1.40079885834256,1.06233656846123,0.0603767815386776,3.60458911045588,0.467539061023281,0.0908418673277913
1.9,2.4,"mass=1.900;Porb=2.400",3,4330.03567127851,-2.30473155916923,0.402996606464182,-8.97008925208467,7.13351186,0.297229660833333,0.0303968131326691,0.627371416752559,0.108637216466789,0.0370430569693477,0.200862125830341,0.544078585067259,1.54491932741815,0.45027946282377,1.10155903144698,0.91020910168904,0.0606933074480306,3.76905417471791,0.263274273380479,0.0714328494723663
1.9,2.5,"mass=1.900;Porb=2.500",3,4363.18908390923,-2.30959925018579,0.343108899740149,-9.15580128127701,7.13351186,0.297229660833333,0.0298765493685309,0.628003660874238,0.0795999847228144,0.026807593277727,0.191071947060828,0.53583259291178,1.54916805418091,0.315423608622519,0.805162974260805,0.801396807494004,0.0599799411163634,3.77912513249172,0.169463090442299,0.0522082815868503
1.9,2.6,"mass=1.900;Porb=2.600",3,4529.00263839658,-2.27987768927729,0.299401199056078,-9.4535730542903,7.13351186,0.297229660833333,0.0320451285371331,0.624109381300213,0.0881450629317537,0.0108111219485856,0.188777673679421,0.577480288253915,1.52322581774208,0.346458603333066,0.329919771942101,0.69427112031779,0.066470866065385,3.71763302383842,0.165100764055054,0.0213834950095881
1.9,2.7,"mass=1.900;Porb=2.700",3,4836.93091950515,-2.23706895429894,0.272490809774396,-9.47645170313802,7.13351186,0.297229660833333,0.0527346926971596,0.61835452538959,0.113089220240653,0.00960266154825189,0.198445274968914,0.976575639210484,1.48586054181076,0.437018922729844,0.293405490440234,0.798215148547831,0.113916285785916,3.62906434500278,0.197607344972737,0.019015139336481
1.9,2.8,"mass=1.900;Porb=2.800",3,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.9,2.9,"mass=1.900;Porb=2.900",3,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2.3,"mass=2.000;Porb=2.300",3,4421.11213267367,-2.36728924164499,0.428290809987751,-8.95727918572009,7.13351186,0.297229660833333,0.0299385535930349,0.635336264236695,0.130493477921062,0.0377566084660621,0.208381226054213,0.536724733527425,1.59952232067437,0.563300666849941,1.1220038738154,0.955387898716784,0.0609371894321457,3.89848222931236,0.325522520063204,0.072758923994921
2,2.4,"mass=2.000;Porb=2.400",3,4453.13041515681,-2.36013637128038,0.369384103179982,-9.13220527289464,7.13351186,0.297229660833333,0.0298170699215338,0.634442879723913,0.0868324658172478,0.0280968614400886,0.194797319225696,0.535777612738823,1.59327899264775,0.347968503627404,0.842822160261209,0.829961817318797,0.0609692818646643,3.88368337392931,0.19756362903616,0.0546508970003316
2,2.5,"mass=2.000;Porb=2.500",3,4617.50676779239,-2.33552744592675,0.325978425079787,-9.3088212480127,7.13351186,0.297229660833333,0.0368186063242592,0.631335462182452,0.0802197519898037,0.0185245435529816,0.191724591012374,0.66527455368463,1.57179928093292,0.317520759520253,0.560943388655808,0.778884495698404,0.0776950399769436,3.83276899845809,0.16223977006263,0.0363679359121886
2,2.6,"mass=2.000;Porb=2.600",3,4903.12169023915,-2.30312763414716,0.298343388089822,-9.44320287729585,7.13351186,0.297229660833333,0.0586703683996277,0.627162617561433,0.089516878886723,0.0113598326588408,0.196677424376656,1.09509392320487,1.54351935376668,0.35214951014579,0.346470555361163,0.834308335619625,0.127591864419413,3.76573575103107,0.166942216966542,0.0224569966695592
2,2.7,"mass=2.000;Porb=2.700",3,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2.8,"mass=2.000;Porb=2.800",3,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2.9,"mass=2.000;Porb=2.900",3,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2.5,"mass=1.000;Porb=2.500",4,4989.55919964154,0.597148989252957,0.711797835309491,-8.11168317092873,7.13351186,0.297229660833333,0.0667494303773168,0.999899854503463,0.365547546558165,0.0871334167459869,0.379832562046233,1.25946686336693,0.98796484835467,2.2584477866118,2.47157355891599,1.74436326431235,0.146283274809283,2.23476085141134,1.20411748263014,0.160293469068689
1,2.6,"mass=1.000;Porb=2.600",4,4665.3760110295,0.59696004741101,0.594928044857662,-8.33223771792173,7.13351186,0.297229660833333,0.0399446073236788,0.999899827315479,0.285436335941811,0.073807197001569,0.349771991895635,0.725318150258107,0.987799931917339,1.55668132407472,2.11956890737292,1.34734207840577,0.0847439522526988,2.23436994218858,0.839628468318396,0.137462067788083
1,2.7,"mass=1.000;Porb=2.700",4,4281.07177545157,0.559153258025189,0.442641333208767,-8.69941514099733,7.13351186,0.297229660833333,0.031514517289603,0.999894072996696,0.142075526707834,0.0523320176167151,0.306454033652712,0.564221243248739,0.954800565825517,0.630152639352743,1.53355441514703,0.920682215893508,0.0621927105686516,2.15614998570977,0.358067086731667,0.0994525358980684
1,2.8,"mass=1.000;Porb=2.800",4,4156.72155219087,-0.481267577119099,0.303704287074891,-9.14468407325515,7.13351186,0.297229660833333,0.0366884842834006,0.117127525791416,0.0862722561043832,0.0274146260775693,0.0668757230641923,0.654362066709815,0.104488097990289,0.340863732511183,0.822906017826311,0.4806549787594,0.0705639922872968,0.255890857470863,0.162858886521699,0.0533591145255843
1,2.9,"mass=1.000;Porb=2.900",4,4541.29835871745,-1.12387325956365,0.214234364812743,-9.53900869911983,7.13351186,0.297229660833333,0.0328457528811857,0.365247390106691,0.208786522830813,0.00631429851450723,0.153298491083299,0.590549612547344,0.514218974452047,0.716832375347815,0.193601804572554,0.50380069172994,0.0684856856805752,1.32593268898781,0.336276810866819,0.0125417984237482
1.1,2.5,"mass=1.100;Porb=2.500",4,4960.6917615698,0.597040043997707,0.695255676257504,-8.13977686009497,7.13351186,0.297229660833333,0.0636879757049657,0.999899838828473,0.354408121399644,0.085417602383978,0.375853384579265,1.1979041938244,0.987869756324367,2.1544771380315,2.42673608265287,1.69174679270828,0.139146933183113,2.23453545027936,1.14921309004061,0.157385262008114
1.1,2.6,"mass=1.100;Porb=2.600",4,4629.05071928307,0.592764118542681,0.575687058698451,-8.38388319307604,7.13351186,0.297229660833333,0.0375133040087877,0.999899219710747,0.270381507908083,0.0707337773756659,0.344631952250821,0.678657082346336,0.984137547592444,1.44173151273172,2.0371428239694,1.28541724165998,0.0792517182633703,2.22568881959656,0.779915980770497,0.132115823134995
1.1,2.7,"mass=1.100;Porb=2.700",4,4265.07550585688,0.174226975720107,0.42664890949385,-8.76176872627121,7.13351186,0.297229660833333,0.0311280372716527,0.999744839810056,0.130411199585124,0.0487701626686496,0.302513559833871,0.557687797200091,0.618820613163537,0.560550010418586,1.434038207678,0.792774157115052,0.0611340524549592,1.35976083078336,0.325447235593296,0.0929978073690856
1.1,2.8,"mass=1.100;Porb=2.800",4,4163.46498379244,-0.938721615188326,0.291664466124024,-9.19242315442267,7.13351186,0.297229660833333,0.036611514247183,0.286328446631406,0.0938680062394895,0.0248129930957608,0.11040524005346,0.654993463011436,0.352756360052896,0.368367945088216,0.746714532044369,0.530708075049229,0.0703145156509136,0.943025747698752,0.171770137779247,0.0484172525972618
1.1,2.9,"mass=1.100;Porb=2.900",4,4552.12566312841,-1.39195799625007,0.209750730974061,-9.53338833014624,7.13351186,0.297229660833333,0.0332980959646806,0.452792296628812,0.220567598622297,0.00660829927958062,0.178316572623842,0.59884511383861,0.748211925096308,0.750502528047413,0.202551451727624,0.575027754677489,0.0695743412124587,1.88058097912505,0.352697241302927,0.0131222640479572
1.2,2.5,"mass=1.200;Porb=2.500",4,4965.83947722764,0.596250927648085,0.703501006474941,-8.13066422526317,7.13351186,0.297229660833333,0.0647973134156138,0.999899725144145,0.358194191783019,0.0859735602729488,0.377216197653932,1.21954067704326,0.987180982172072,2.19783291887986,2.44127983109215,1.71145860229684,0.141632621868034,2.23290281636554,1.16793003871349,0.158328585215026
1.2,2.6,"mass=1.200;Porb=2.600",4,4668.61486601232,0.580170135096213,0.59564434916807,-8.32715521692175,7.13351186,0.297229660833333,0.0399247888906905,0.999897350914636,0.287533250383263,0.0741106102674327,0.350366500114006,0.725318921858126,0.97314498575221,1.56769245598133,2.12768056962543,1.34845923330428,0.0847263947461498,2.19963263093096,0.848033435232316,0.13798819894893
1.2,2.7,"mass=1.200;Porb=2.700",4,4080.85065699557,-0.889493671868486,0.341879699000934,-8.99721752275735,7.13351186,0.297229660833333,0.0420302918363103,0.262024314939946,0.0792452062000462,0.0355351817687435,0.104708748686262,0.744239359915666,0.310034488433547,0.31368197198652,1.05826236132481,0.606554545415135,0.0799858570663769,0.841470971431772,0.168202941214886,0.068624580759609
1.2,2.8,"mass=1.200;Porb=2.800",4,4135.98017602152,-1.40108781878647,0.243755150969862,-9.37396030022706,7.13351186,0.297229660833333,0.0381313411562419,0.455348484558172,0.149424286453597,0.0150389462180357,0.164485764596512,0.678873085218843,0.756180820660479,0.547677130463933,0.456981581070456,0.609928154353428,0.0731139968134249,1.89947002876556,0.24998028914152,0.0296248609657829
1.2,2.9,"mass=1.200;Porb=2.900",4,4634.14213849254,-1.62470296209975,0.192643439804306,-9.68483841759341,7.13351186,0.297229660833333,0.0382879019494458,0.511240640134809,0.261817226278287,0.00181964519232557,0.203291353388717,0.693485132469434,0.951361583104111,0.859414991005566,0.0561061791528618,0.640091971432993,0.0808860514742875,2.36211621116073,0.407385001438943,0.00364883981730888
1.3,2.5,"mass=1.300;Porb=2.500",4,4963.54874354361,0.590906649846934,0.705654219786068,-8.12580028435236,7.13351186,0.297229660833333,0.0641571004531146,0.999898948374054,0.359980122288582,0.0862705403825039,0.377576677874564,1.20702231840298,0.982516270290382,2.21366575400926,2.44904267184415,1.71306175363669,0.140215358445434,2.2218458294114,1.17472389200878,0.1588320914372
