"mass","porb","label","numSimulation","Teff","logCN","star_mass","lg_mstar_dot_1","period_hours","period_days","teffError3","cnError3","massError3","mdotError3"
1,2.4,"mass=1.000;Porb=2.400",1,5568.35674245028,0.59715099180497,0.942868953659249,-7.61406689893744,7.13351186,0.297229660833333,0.276989771224397,2.19175384400918,1.9165961842137,0.189792626265276
1,2.5,"mass=1.000;Porb=2.500",1,5522.06919860644,0.597150991804108,0.923071520829705,-7.57084187012237,7.13351186,0.297229660833333,0.267206101290766,2.19175384400745,1.85646516307945,0.19439217044327
1,2.6,"mass=1.000;Porb=2.600",1,5457.41185342596,0.597150991784314,0.896424681137395,-7.52870248353671,7.13351186,0.297229660833333,0.25080077851673,2.19175384396792,1.77473784444362,0.198876192213702
1,2.7,"mass=1.000;Porb=2.700",1,5363.56338559438,0.597150991230236,0.858426116447513,-7.51269634909539,7.13351186,0.297229660833333,0.232345157188665,2.19175384286129,1.64775845300939,0.200579393449188
1,2.8,"mass=1.000;Porb=2.800",1,5220.76775555157,0.597150962570292,0.798955666465787,-7.54340142833285,7.13351186,0.297229660833333,0.197375624997852,2.19175378562033,1.47747028196474,0.197312088086692
1,2.9,"mass=1.000;Porb=2.900",1,4920.84391229199,0.597141901028585,0.679161437186383,-7.73193836332189,7.13351186,0.297229660833333,0.131815229058987,2.19173568749197,1.10140525396243,0.177250008651748
1,3,"mass=1.000;Porb=3.000",1,4231.14782721291,0.348128232514275,0.39132711923838,-8.64410512539717,7.13351186,0.297229660833333,0.0647073950508915,1.69439412214325,0.234772536311865,0.0801870006011814
1,3.1,"mass=1.000;Porb=3.100",1,4257.66866831363,-0.831913224250671,0.260162181938867,-9.17707192251731,7.13351186,0.297229660833333,0.0631215572079937,0.669226145467357,0.212990043466597,0.023474387655427
1,3.2,"mass=1.000;Porb=3.200",1,4821.20879605782,-1.25121612672397,0.197698319850783,-9.5551776473109,7.13351186,0.297229660833333,0.111804360422694,1.49989007880405,0.387980078648539,0.0167595701420583
1,3.3,"mass=1.000;Porb=3.300",1,6457.68129738095,-2.43057349106692,0.157633679229479,-10.2105385058828,7.13351186,0.297229660833333,0.482551787051503,3.85535691396757,0.51062829189063,0.0864960469973083
1,3.4,"mass=1.000;Porb=3.400",1,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA
1.1,2.4,"mass=1.100;Porb=2.400",1,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA
1.1,2.5,"mass=1.100;Porb=2.500",1,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA
1.1,2.6,"mass=1.100;Porb=2.600",1,5526.25127136559,0.597150989503739,0.936848760139341,-7.3819706984257,7.13351186,0.297229660833333,0.267434730625065,2.19175383941305,1.91040503512066,0.214489815765498
1.1,2.7,"mass=1.100;Porb=2.700",1,5431.71344532631,0.597150958890546,0.893242692182961,-7.38427453849542,7.13351186,0.297229660833333,0.245148180358834,2.19175377827097,1.77472796402206,0.214244665803307
1.1,2.8,"mass=1.100;Porb=2.800",1,5288.45158935834,0.597150185480457,0.828786152365421,-7.43352145780825,7.13351186,0.297229660833333,0.214023850365145,2.19175223358073,1.55958656506296,0.209004336595464
1.1,2.9,"mass=1.100;Porb=2.900",1,4988.47993981379,0.597050472426084,0.70147841318486,-7.63674749677707,7.13351186,0.297229660833333,0.147039753557862,2.19155308207695,1.17335407455545,0.18737920018769
1.1,3,"mass=1.100;Porb=3.000",1,4236.10302300479,-0.250946426823517,0.384490435970222,-8.6392048495823,7.13351186,0.297229660833333,0.0641838551194501,0.550114070901534,0.219627571770276,0.0807084354206061
1.1,3.1,"mass=1.100;Porb=3.100",1,4255.95995427784,-1.17275414543987,0.256734020654493,-9.1714693365061,7.13351186,0.297229660833333,0.0618823391663582,1.34319275726899,0.224311553326366,0.0240705547969181
1.1,3.2,"mass=1.100;Porb=3.200",1,4760.20148373164,-1.47928092160641,0.19913389871775,-9.47551288481272,7.13351186,0.297229660833333,0.0996677410010525,1.95539158908058,0.38404345675676,0.00828250015310735
1.1,3.3,"mass=1.100;Porb=3.300",1,6111.94560448182,-2.07133339852237,0.158338580890586,-10.0637110050492,7.13351186,0.297229660833333,0.401557989238641,3.13786605883462,0.510640556978691,0.0708722384044233
1.2,2.4,"mass=1.200;Porb=2.400",1,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA
1.2,2.5,"mass=1.200;Porb=2.500",1,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA
1.2,2.6,"mass=1.200;Porb=2.600",1,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA
