"mass","porb","label","numSimulation","Teff","logCN","star_mass","lg_mstar_dot_1","period_hours","period_days","teffError2","cnError2","massError2","mdotError2","totalError2"
1,2.4,"mass=1.000,Porb=2.400",1,5568.35674245028,0.59715099180497,0.942868953659249,-7.61406689893744,7.13351186,0.297229660833333,1.95885987961086,1.0100744711124,2.20988436869396,2.01702528888865,1.79896100207647
1,2.5,"mass=1.000,Porb=2.500",1,5522.06919860644,0.597150991804108,0.923071520829705,-7.57084187012237,7.13351186,0.297229660833333,1.86995011228297,1.01007447111166,2.1365534455652,2.06590629954533,1.77062108212629
1,2.6,"mass=1.000,Porb=2.600",1,5457.41185342596,0.597150991784314,0.896424681137395,-7.52870248353671,7.13351186,0.297229660833333,1.75645186765004,1.01007447109458,2.04576822230876,2.11355961201787,1.73146354326781
1,2.7,"mass=1.000,Porb=2.700",1,5363.56338559438,0.597150991230236,0.858426116447513,-7.51269634909539,7.13351186,0.297229660833333,1.62230076610016,1.01007447061651,1.90559572421107,2.13166014427074,1.66740777629962
1,2.8,"mass=1.000,Porb=2.800",1,5220.76775555157,0.597150962570292,0.798955666465787,-7.54340142833285,7.13351186,0.297229660833333,1.38328065135813,1.01007444588815,1.68616547194577,2.0969373147767,1.54411447099219
1,2.9,"mass=1.000,Porb=2.900",1,4920.84391229199,0.597141901028585,0.679161437186383,-7.73193836332189,7.13351186,0.297229660833333,0.895457384191865,1.01006662741345,1.2502339040944,1.88373037932725,1.25987207375674
1,3,"mass=1.000,Porb=3.000",1,4231.14782721291,0.348128232514275,0.39132711923838,-8.64410512539717,7.13351186,0.297229660833333,0.470242693679576,0.795212783438389,0.242354070779146,0.852206874544311,0.590004105610355
1,3.1,"mass=1.000,Porb=3.100",1,4257.66866831363,-0.831913224250671,0.260162181938867,-9.17707192251731,7.13351186,0.297229660833333,0.460780486136924,0.22845921838202,0.283470955947732,0.249501534516873,0.305553048745887
1,3.2,"mass=1.000,Porb=3.200",1,4821.20879605782,-1.25121612672397,0.197698319850783,-9.5551776473109,7.13351186,0.297229660833333,0.762137656294923,0.584732684906147,0.500415503036655,0.178079209085566,0.506341263330823
1,3.3,"mass=1.000,Porb=3.300",1,6457.68129738095,-2.43057349106692,0.157633679229479,-10.2105385058828,7.13351186,0.297229660833333,3.40457055406098,1.60230519271738,0.641827834467002,0.919193836189085,1.64197435435861
