"mass","porb","label","numSimulation","Teff","logCN","star_mass","lg_mstar_dot_1","period_hours","period_days","teffError3","cnError3","massError3","mdotError3"
1,2.5,"mass=1.000,Porb=2.500",1,4989.55919964154,0.597148989252957,0.711797835309491,-8.11168317092873,7.13351186,0.297229660833333,0.146097410381401,2.23476085141134,1.20090991194614,0.160293469068689
1,2.6,"mass=1.000,Porb=2.600",1,4665.3760110295,0.59696004741101,0.594928044857662,-8.33223771792173,7.13351186,0.297229660833333,0.0839260288145518,2.23436994218858,0.842210073239235,0.137462067788083
1,2.7,"mass=1.000,Porb=2.700",1,4281.07177545157,0.559153258025189,0.442641333208767,-8.69941514099733,7.13351186,0.297229660833333,0.0623097373422934,2.15614998570977,0.360676499410975,0.0994525358980684
1,2.8,"mass=1.000,Porb=2.800",1,4156.72155219087,-0.481267577119099,0.303704287074891,-9.14468407325515,7.13351186,0.297229660833333,0.0699034801684327,0.255890857470863,0.164224432094743,0.0533591145255843
1,2.9,"mass=1.000,Porb=2.900",1,4541.29835871745,-1.12387325956365,0.214234364812743,-9.53900869911983,7.13351186,0.297229660833333,0.0668017638515545,1.32593268898781,0.336716803961677,0.0125417984237482
1.1,2.5,"mass=1.100,Porb=2.500",1,4960.6917615698,0.597040043997707,0.695255676257504,-8.13977686009497,7.13351186,0.297229660833333,0.140507826129856,2.23453545027936,1.14661694700496,0.157385262008114
1.1,2.6,"mass=1.100,Porb=2.600",1,4629.05071928307,0.592764118542681,0.575687058698451,-8.38388319307604,7.13351186,0.297229660833333,0.0801746426117573,2.22568881959656,0.778958098819768,0.132115823134995
1.1,2.7,"mass=1.100,Porb=2.700",1,4265.07550585688,0.174226975720107,0.42664890949385,-8.76176872627121,7.13351186,0.297229660833333,0.062394072098598,1.35976083078336,0.3164319473193,0.0929978073690856
1.1,2.8,"mass=1.100,Porb=2.800",1,4163.46498379244,-0.938721615188326,0.291664466124024,-9.19242315442267,7.13351186,0.297229660833333,0.0699756960946774,0.943025747698752,0.170998806180251,0.0484172525972618
1.1,2.9,"mass=1.100,Porb=2.900",1,4552.12566312841,-1.39195799625007,0.209750730974061,-9.53338833014624,7.13351186,0.297229660833333,0.0708469635576483,1.88058097912505,0.352441990042834,0.0131222640479572
1.2,2.5,"mass=1.200,Porb=2.500",1,4965.83947722764,0.596250927648085,0.703501006474941,-8.13066422526317,7.13351186,0.297229660833333,0.141138625770923,2.23290281636554,1.18315914081495,0.158328585215026
1.2,2.6,"mass=1.200,Porb=2.600",1,4668.61486601232,0.580170135096213,0.59564434916807,-8.32715521692175,7.13351186,0.297229660833333,0.0849771709645502,2.19963263093096,0.837324295506582,0.13798819894893
1.2,2.7,"mass=1.200,Porb=2.700",1,4080.85065699557,-0.889493671868486,0.341879699000934,-8.99721752275735,7.13351186,0.297229660833333,0.0806993330851948,0.841470971431772,0.169397122970584,0.068624580759609
1.2,2.8,"mass=1.200,Porb=2.800",1,4135.98017602152,-1.40108781878647,0.243755150969862,-9.37396030022706,7.13351186,0.297229660833333,0.0737801490385034,1.89947002876556,0.247932384709416,0.0296248609657829
1.2,2.9,"mass=1.200,Porb=2.900",1,4634.14213849254,-1.62470296209975,0.192643439804306,-9.68483841759341,7.13351186,0.297229660833333,0.078475074840511,2.36211621116073,0.403931909702344,0.00364883981730888
1.3,2.5,"mass=1.300,Porb=2.500",1,4963.54874354361,0.590906649846934,0.705654219786068,-8.12580028435236,7.13351186,0.297229660833333,0.142650386999715,2.2218458294114,1.18638285786644,0.1588320914372
1.3,2.6,"mass=1.300,Porb=2.600",1,4689.60729896223,0.524875477586839,0.6119796332336,-8.29218262903851,7.13351186,0.297229660833333,0.0868044263563183,2.08523133491622,0.887518950189088,0.141608496959876
1.3,2.7,"mass=1.300,Porb=2.700",1,4354.08136472453,-0.186158238623269,0.491052372650438,-8.55206206078658,7.13351186,0.297229660833333,0.0592667022502571,0.629785083196291,0.512304692301902,0.114706255896559
1.3,2.8,"mass=1.300,Porb=2.800",1,4323.37952027956,-1.76708550507067,0.186165851893678,-9.71075451955699,7.13351186,0.297229660833333,0.0599736819828377,2.65669706543196,0.424917198638962,0.00537593370126597
1.3,2.9,"mass=1.300,Porb=2.900",1,4968.77184357018,-1.7615374972434,0.168988906589866,-9.86980943007907,7.13351186,0.297229660833333,0.144047661294887,2.64521857339803,0.476407692562552,0.0217045294849631
1.4,2.5,"mass=1.400,Porb=2.500",1,4931.17096815894,0.551824487632221,0.694818287424095,-8.15738065587378,7.13351186,0.297229660833333,0.1320671433838,2.14098720382604,1.14022326381142,0.155562949428448
1.4,2.6,"mass=1.400,Porb=2.600",1,4662.88626479025,0.238142756666925,0.604377749039034,-8.31682458782824,7.13351186,0.297229660833333,0.0858474526977626,1.49199870882556,0.858740094869157,0.139057606682893
1.4,2.7,"mass=1.400,Porb=2.700",1,4330.30154546485,-0.637878062225551,0.491556840927077,-8.58505289488808,7.13351186,0.297229660833333,0.0594106263781077,0.369115619483772,0.528350813284974,0.111291105394233
1.4,2.8,"mass=1.400,Porb=2.800",1,4197.86375516177,-2.03934784934726,0.227807646078507,-9.42841425641837,7.13351186,0.297229660833333,0.0668792058608973,3.21999135902573,0.297275552223273,0.0239878875183034
1.4,2.9,"mass=1.400,Porb=2.900",1,5671.58742540536,-1.98448792599891,0.15667431706836,-10.1754561560304,7.13351186,0.297229660833333,0.302931351519468,3.10648950164906,0.516670309631993,0.0533445167146072
1.5,2.5,"mass=1.500,Porb=2.500",1,4800.04251774704,0.154434039825182,0.649552572997653,-8.22780742249656,7.13351186,0.297229660833333,0.108678227018484,1.31881044569539,1.00720899514941,0.148272500006377
1.5,2.6,"mass=1.500,Porb=2.600",1,4518.83633049995,-0.58060356933346,0.555843485712919,-8.4071226582174,7.13351186,0.297229660833333,0.0672209919272878,0.300513517616843,0.707109885574778,0.129710116422424
1.5,2.7,"mass=1.500,Porb=2.700",1,4214.95746052906,-1.24884509973733,0.442808019493093,-8.70987657138804,7.13351186,0.297229660833333,0.0658483442756817,1.58448906762882,0.36877035259243,0.0983695878542588
1.5,2.8,"mass=1.500,Porb=2.800",1,4041.50146904117,-1.63274943978184,0.331573715317795,-9.04295594134127,7.13351186,0.297229660833333,0.086204109968916,2.37876388593886,0.161052041928805,0.0638898237443162
1.5,2.9,"mass=1.500,Porb=2.900",1,7250.55030318602,-2.47095930669168,0.171933830303415,-11.5522778020657,7.13351186,0.297229660833333,0.660109557941066,4.11296931239563,0.468161467506192,0.195870562634012
1.6,2.5,"mass=1.600,Porb=2.500",1,4551.08487508723,-0.917858763153084,0.564239567739174,-8.41651596478383,7.13351186,0.297229660833333,0.0695803217380717,0.899954154655088,0.734046763030563,0.128737738593474
1.6,2.6,"mass=1.600,Porb=2.600",1,4282.56949598087,-1.46405371302118,0.4642274467885,-8.65479072681998,7.13351186,0.297229660833333,0.0618463851668336,2.02974264875522,0.437849148968872,0.10407197322496
1.6,2.7,"mass=1.600,Porb=2.700",1,4108.76459748473,-1.79371650314341,0.365665741687659,-8.93540611991851,7.13351186,0.297229660833333,0.0744636573283733,2.71179498683911,0.192655857428513,0.0750231835595578
1.6,2.8,"mass=1.600,Porb=2.800",1,4076.88399332666,-1.94805269952472,0.27034069469688,-9.27394824200826,7.13351186,0.297229660833333,0.0814055264232094,3.0311072257297,0.19664229918158,0.0399779253900918
1.6,2.9,"mass=1.600,Porb=2.900",1,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA
1.7,2.5,"mass=1.700,Porb=2.500",1,4324.98361978535,-1.75089665431915,0.469090287312443,-8.63836198897859,7.13351186,0.297229660833333,0.0611804196501922,2.62320331412969,0.44664991383576,0.105772645966939
1.7,2.6,"mass=1.700,Porb=2.600",1,4171.24802059701,-1.99941509447375,0.379550890683921,-8.90130134933921,7.13351186,0.297229660833333,0.069686539057337,3.13737290876778,0.219316257111727,0.0785536467184223
1.7,2.7,"mass=1.700,Porb=2.700",1,4151.91232691423,-2.09235183998103,0.303669025983577,-9.1650621301357,7.13351186,0.297229660833333,0.0718762040777178,3.3296534040692,0.163047102354146,0.0512496155363224
1.7,2.8,"mass=1.700,Porb=2.800",1,4319.32115836405,-2.08721072356308,0.245137252937369,-9.42022846350313,7.13351186,0.297229660833333,0.0605938754121195,3.31901674570711,0.247612198337586,0.0248352657537365
1.7,2.9,"mass=1.700,Porb=2.900",1,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA
1.8,2.5,"mass=1.800,Porb=2.500",1,4252.15195752008,-2.16906819336562,0.396297402299065,-8.84054365679122,7.13351186,0.297229660833333,0.0640984300755198,3.48837489088253,0.242858109917954,0.0848431713659962
1.8,2.6,"mass=1.800,Porb=2.600",1,4242.79664960239,-2.2201406196605,0.327088736715525,-9.0925356412461,7.13351186,0.297229660833333,0.0638046188691893,3.59404064634471,0.161876917776843,0.0587574243477382
1.8,2.7,"mass=1.800,Porb=2.700",1,4376.87693775103,-2.19457232421022,0.275972466338499,-9.28862877460012,7.13351186,0.297229660833333,0.0598816004205154,3.54114139227295,0.188451229087407,0.0384582236419861
1.8,2.8,"mass=1.800,Porb=2.800",1,5102.58653636751,-2.23384601672065,0.230996034495758,-9.65792833093341,7.13351186,0.297229660833333,0.173890268575379,3.6223962824351,0.28247131661259,0.00323826082800064
1.8,2.9,"mass=1.800,Porb=2.900",1,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA
1.9,2.5,"mass=1.900,Porb=2.500",1,4341.59246759374,-2.30933765455469,0.355646316265445,-9.00370994922682,7.13351186,0.297229660833333,0.0597336709055935,3.77858390698136,0.183854991626606,0.0679524967058895
1.9,2.6,"mass=1.900,Porb=2.600",1,4468.44649526117,-2.28615240702417,0.308212842583161,-9.20800536564473,7.13351186,0.297229660833333,0.0633803371677228,3.73061503466375,0.163059526106527,0.0468042107348275
1.9,2.7,"mass=1.900,Porb=2.700",1,4716.90620527656,-2.23651330791383,0.276596382869513,-9.40174843615229,7.13351186,0.297229660833333,0.0928225661876228,3.62791474629929,0.191595346435875,0.0267482842150479
1.9,2.8,"mass=1.900,Porb=2.800",1,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA
1.9,2.9,"mass=1.900,Porb=2.900",1,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA
